"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"AGRONORTE",221,"Agricultura (Açúcar, Álcool e Cana)","WALTER HEUER AUDITORES INDEPENDENTES"
"TAMAKAVY",213,"Agricultura (Açúcar, Álcool e Cana)","PAES DE MENEZES AUD INDEP SC"
"ÁGUAS DE TERESINA SANEAMENTO SPE S.A.",25615,"Saneamento, Serv. Água e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"ÁGUAS DO RIO 1 SPE S.A.",26735,"Saneamento, Serv. Água e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"ÁGUAS DO RIO 4 SPE S.A.",26743,"Saneamento, Serv. Água e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"ÁGUAS DO SERTAO S.A.",27359,"Saneamento, Serv. Água e Gás","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"AGUAS GUARIROBA S.A",23442,"Saneamento, Serv. Água e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"AGV HOLDING S/A",21806,"Emp. Adm. Part. - Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"OXIGENIO DO BRASIL",9288,"Outras Atividades Industriais","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES",17957,"Emp. Adm. Part. - Sem Setor Principal","TRÍADE AUDITORES INDEPENDENTES"
"ALBAE PARTICIPACÕES S.A.",18074,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ALBATROZ SA",13242,"Emp. Adm. Participações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ALCALIS",15067,"Petroquímicos e Borracha","ANDRÉ LUIZ TINOCO DE SÁ"
"ALCAN",256,"Metalurgia e Siderurgia","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ALCOA ALUMINIO",264,"Metalurgia e Siderurgia","ARTHUR ANDERSEN BIEDERMANN A I"
"ALFA HOLDINGS",9954,"Emp. Adm. Part. - Intermediação Financeira","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"ALFRED NORDESTE",272,"Têxtil e Vestuário","BOCK & CIA  AUDITORES S/C"
"LOJAS ALFRED",280,"Têxtil e Vestuário","BOCK & CIA  AUDITORES S/C"
"CTBC TELECOM",21032,"Telecomunicações","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ALIANSCE",21300,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ALIMENTA PARTICIPAÇÕES E SERVIÇOS S.A.",18260,"Emp. Adm. Participações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ALIPAR",14079,"Emp. Adm. Participações","KPMG AUDITORES INDEPENDENTES LTDA."
