"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"CBPO",2887,"Construção Civil, Mat. Constr. e Decoração","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIBRESME",2844,"Metalurgia e Siderurgia","ADCON AUDITORIA CONTL EMP SC"
"CACIQUE",2909,"Alimentos","KPMG AUDITORES ASSOCIADOS"
"CASAN",16861,"Saneamento, Serv. Água e Gás","RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S"
"BRAHMA",2917,"Bebidas e Fumo","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CERVEJARIA CUIABANA",2925,"Bebidas e Fumo","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIMENTO ATOL",2976,"Extração Mineral","TAMIRES PELINCA DA COSTA"
"CIMENTO IPANEMA",2992,"Extração Mineral","RUHTRA S/C"
"CIMENTO VOTORAN",3000,"Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIMENTO PARAISO",3018,"Extração Mineral","RUHTRA S/C"
"CIMENTO SALVADOR",3026,"Extração Mineral","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"BORDA DO CAMPO",2941,"Máquinas, Equipamentos, Veículos e Peças",""
"COMERCIAL SCHRADER",2950,"Máquinas, Equipamentos, Veículos e Peças","ACTUS AUDITORES INDEPENDENTES S/S"
"PEDERNEIRAS",12491,"Construção Civil, Mat. Constr. e Decoração","AUDITASSE AUDITORES INDEPENDENTES S/S"
"CAGEPA",19968,"Saneamento, Serv. Água e Gás","BKR - LOPES, MACHADO AUDITORES"
"COELBA",14524,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ELETROBRAS CGT ELETROSUL",27480,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA",18708,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES INDEPENDENTES LTDA."
"CIA DE RECUPERAÇÃO SECUNDÁRIA",19240,"Petróleo e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"CODEARA",12025,"Agricultura (Açúcar, Álcool e Cana)","PRADO GUERRA AUD ASSOC SC"
"PROPARA",3034,"Agricultura (Açúcar, Álcool e Cana)","ARTHUR ANDERSEN BIEDERMANN A I"
"COMPANHIA DOCAS DE IMBITUBA",3174,"Serviços Transporte e Logística","VGA AUDITORES INDEPENDENTES SOCIEDADE SIMPLES LTDA"
"CIA ENERG CEARA - COELCE",14869,"Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"CEMIG",2453,"Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"CELPE",14362,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COSERN",18139,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CEM",16900,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CEDAE",16373,"Saneamento, Serv. Água e Gás","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"CEEE-D",20648,"Energia Elétrica","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CEEE-GT",3204,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"FABRICA YOLANDA",3220,"Têxtil e Vestuário","MOORE STEPHENS M MEDEIROS A.I."
"CIA. FABRIL MASCARENHAS",3239,"Têxtil e Vestuário","AUDSÉRVICE AUDITORES ASSOCIADOS SOCIEDADE SIMPLES"
"FERRO BRASILEIRO",3247,"Metalurgia e Siderurgia","UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES"
"FERBASA",3069,"Metalurgia e Siderurgia","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"FIACAO PARA DE MINAS",3255,"Têxtil e Vestuário","MATTOSO AUDITORES INDEPENDENTES & ASSOCIADOS LTDA."
"GERAL DE INDUSTRIAS",3280,"Metalurgia e Siderurgia","BIANCHESSI & CIA  AUDITORES"
"CIA HERING",3301,"Têxtil e Vestuário","KPMG AUDITORES ASSOCIADOS"
"CIA HERING",14761,"Têxtil e Vestuário","KPMG AUDITORES INDEPENDENTES LTDA."
"CHESF",3328,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SANTA CECILIA",3433,"Agricultura (Açúcar, Álcool e Cana)","KPMG AUDITORES ASSOCIADOS"
"CIA INDL AMAZONENSE",3379,"Metalurgia e Siderurgia","ESC AUDITORIA E CONTAB ESTEC"
"CIMAF",3468,"Metalurgia e Siderurgia","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"PAOLETTI",3441,"Alimentos","KPMG AUDITORES INDEPENDENTES LTDA."
"MICHELETTO",3476,"Metalurgia e Siderurgia","BIANCHESSI & CIA AUDITORES"
"RIO GUAHYBA",3514,"Têxtil e Vestuário","ARTHUR ANDERSEN BIEDERMANN A I"
"CISPER",3530,"Extração Mineral","ARTHUR YOUNG AUD ASSOCIADOS SC"
"CONAPE AGROPECUARIA",3360,"Alimentos","MARPE AUDITORES ASSOCIADOS"
"CIA INDL B HORIZONTE",3387,"Têxtil e Vestuário","ROBERTO DREYFUSS & CIA SC"
"CBR",13811,"Alimentos","SISTEMA AUDITORES INDEPENDENTES"
"IMPORTADORA DOX",3344,"Metalurgia e Siderurgia","MERITO AUDITORES INDEPENDENTES"
"CINPELCO",3425,"Têxtil e Vestuário",""
"SANTA MATILDE",3522,"Máquinas, Equipamentos, Veículos e Peças","FERNANDO MOTTA & ASSOCIADOS - AUDITORES INDEPENDENTES"
"SCHLOSSER TECIDOS",3549,"Têxtil e Vestuário","PSW BRASIL AUDITORES INDEPENDENTES"
"CIA INTER-ATLANTICO",15792,"Emp. Adm. Participações","RUHTRA S/C"
"INTER FIDUCIARIA",3557,"Emp. Adm. Participações","ROBERTO DREYFUSS & CIA SC"
"INV DO PARA",3093,"Emp. Adm. Participações",""
"LATINOAMERICANA",14745,"Emp. Adm. Participações","ACAL CONSULTORIA E AUDITORIA S/S"
"CIA IOCHPE",3573,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LECO",3603,"Alimentos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"LONDRIMALHAS",12947,"Têxtil e Vestuário","MOACYR BOER"
"COMIG",3620,"Construção Civil, Mat. Constr. e Decoração",""
"REFRIMA",3638,"Bebidas e Fumo","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"MATSULFUR",3646,"Extração Mineral","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"MINUANO",12246,"Alimentos","DIEHL BIEDERMAN BORDASCH SC"
"CONFRIO",3735,"Pesca","BINAH AUDITORES ASSOCIADOS SC"
"ALCALIS",15555,"Petroquímicos e Borracha","ANDRÉ LUIZ TINOCO DE SÁ"
"CIANE",3727,"Têxtil e Vestuário","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LLOYDBRAS",3760,"Serviços Transporte e Logística","AUDIVA AUDITORES INDEPENDENTES EPP"
"NITRO QUIMICA",3778,"Petroquímicos e Borracha","AUDIMAR AUDITORES INDEPENDENTES SC"
"CIMEPAR",3786,"Extração Mineral","TAMIRES PELINCA DA COSTA"
"CPA",16683,"Emp. Adm. Participações","KPMG AUDITORES ASSOCIADOS"
"COPALAM",3832,"Metalurgia e Siderurgia","ECOPAL AUDITORES INDEPENDENTES"
"PAULISTA DE ENERGIA",3794,"Energia Elétrica","RUHTRA S/C"
"COPAS",3816,"Petroquímicos e Borracha","ROCHA MIRANDA CIA AUD INDEP"
"CPRM",3107,"Serviços Diversos","ACAL CONSULTORIA E AUDITORIA S/S"
"COMPANHIA PETROLÍFERA MARLIM",18899,"Petróleo e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"CPFL - PIRATININGA",19275,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"PNEUS TROPICAL",3867,"Petroquímicos e Borracha","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"PRODUTORES ARMAZENS",2631,"Serviços Transporte e Logística","SERGIO VAILATI"
"FABRICA BANGU",3875,"Têxtil e Vestuário","AUDIVA AUDITORES INDEPENDENTES EPP"
"CIA PROVINCIA DE SECURITIZAÇÃO CRED IMOB",19429,"Securitização de Recebíveis","RAMIRES & CIA - AUDITORES  INDEPENDENTES  SOCIEDADE SIMPLES"
"METACRIL",3883,"Petroquímicos e Borracha","KPMG AUDITORES INDEPENDENTES LTDA."
"ADUBOS CRA",3905,"Petroquímicos e Borracha","DIEHL BIEDERMAN BORDASCH SC"
"CORSAN",16748,"Saneamento, Serv. Água e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"CRT",3913,"Telecomunicações","RUHTRA S/C"
"SALINAS PERYNAS",3930,"Extração Mineral",""
"SABESP",14443,"Saneamento, Serv. Água e Gás","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"SANTISTA DE PAPEL",3948,"Papel e Celulose","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II",26107,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"COMPANHIA DE SEGUROS ALIANÇA DA BAHIA",3115,"Seguradoras e Corretoras","KPMG AUDITORES INDEPENDENTES LTDA."
"SEGUROS AMER DO SUL",3123,"Seguradoras e Corretoras","AUDIFISCO AUDITORES INDEPENDENTES S/S"
"SEGUROS DA BAHIA",3131,"Seguradoras e Corretoras","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"MINAS-BRASIL SEGURADORA",3140,"Seguradoras e Corretoras","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"SEGUROS RIO BRANCO",12475,"Seguradoras e Corretoras","CESAR AUGUSTO BESS"
"SERVIENGE",3956,"Construção Civil, Mat. Constr. e Decoração","MATTOSO AUDITORES INDEPENDENTES & ASSOCIADOS LTDA."
"COMESA",3999,"Metalurgia e Siderurgia","ARTHUR ANDERSEN BIEDERMANN A I"
"COSINOR",4014,"Metalurgia e Siderurgia","ARTHUR ANDERSEN BIEDERMANN A I"
"SIDERURGICA PAINS",4049,"Metalurgia e Siderurgia","ARTHUR ANDERSEN BIEDERMANN A I"
"SIDERAMA",3972,"Metalurgia e Siderurgia","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"COSIM",4006,"Metalurgia e Siderurgia","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"CSN",4030,"Metalurgia e Siderurgia","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA."
"T JANER",4073,"Comércio (Atacado e Varejo)","WALTER HEUER AUDITORES INDEPENDENTES"
"COTEMINAS",3158,"Têxtil e Vestuário","RSM BRASIL AUDITORES INDEPENDENTES LTDA."
"SANTANENSE",4081,"Têxtil e Vestuário","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"ALUSA",18422,"Construção Civil, Mat. Constr. e Decoração","MARTINELLI AUDITORES"
"CTBC",4103,"Telecomunicações","RUHTRA S/C"
"CTMR",4090,"Telecomunicações","KPMG AUDITORES ASSOCIADOS"
"CETEL",3166,"Telecomunicações","MOREIRA AUDITORES BRAS ASSOC"
"CIA TERRAS BONSUCESS",15830,"Emp. Adm. Participações","REVISORA NACIONAL AUD. INDEP."
"TEXTIL DE CASTANHAL",4120,"Têxtil e Vestuário","AUDITAN - AUDITORIA INDEPENDENTE"
"CIA THERMAS DO RIO QUENTE",4154,"Hospedagem e Turismo","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"UNIAO DE SEGUROS",4162,"Seguradoras e Corretoras","NARDON, NASI - AUDITORES INDEPENDENTES S/S EPP"
"VINICOLA RIOGRAND",4197,"Bebidas e Fumo","BIANCHESSI & CIA AUDITORES"
"WETZEL",4200,"Petroquímicos e Borracha","OTTO KUTSCHER DE OLIVEIRA"
"PETROLEO IPIRANGA",2860,"Petróleo e Gás","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"-",2984,"Extração Mineral","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"SANEPAR",18627,"Saneamento, Serv. Água e Gás","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"CEG",16616,"Saneamento, Serv. Água e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"CIA. IGUAÇU DE CAFÉ SOLÚVEL",3336,"Alimentos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIA. SEC. DE CRÉDITOS FINANCEIROS VERT-PROVI II",26018,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"CIA. SECURITIZADORA DE CRED. FIN. VERT-UME",26310,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"CIA. SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARGAPAY",25216,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"CICA",3417,"Alimentos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CICADE CURTUME",13234,"Têxtil e Vestuário","EXACTO AUDITORIA LTDA."
"CICANORTE IND DE CONS ALIM SA",7021,"Alimentos","COKINOS & ASSOCIADOS AUDITORES INDEPENDENTES"
"CICLUS AMBIENTAL DO BRASIL S.A.",26921,"Saneamento, Serv. Água e Gás","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIDADELA TRUST",15571,"Securitização de Recebíveis","DIRECTA AUDITORES"
"CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO",21733,"Intermediação Financeira","KPMG AUDITORES INDEPENDENTES LTDA."
"CIMBA",4235,"Metalurgia e Siderurgia","CELSO GAMA SC AUDITORES INDEP"
"CIMENTO ARATU",4243,"Extração Mineral","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"CIMENTO CAUE",4251,"Extração Mineral","CASTRO SERRA NIRDO - AUDITORES INDEPENDENTES"
"CIMENTO ITAU CORUMBA",4260,"Extração Mineral","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"CIMENTO MAUA SA",13609,"Extração Mineral","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CIMENTO MATO GROSSO",4278,"Extração Mineral","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"CIMENTO SANTA RITA",4286,"Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIMENTO TOCANTINS",4294,"Extração Mineral","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"CIMENTO TUPI SA",4308,"Construção Civil, Mat. Constr. e Decoração","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIMENTO TUPI SA",22829,"Construção Civil, Mat. Constr. e Decoração","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
".",4324,"Metalurgia e Siderurgia","FERNANDO MOTTA & ASSOCIADOS - AUDITORES INDEPENDENTES"
"CIMINAS",11908,"Extração Mineral","RUHTRA S/C"
"CIMOB",6513,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","MATTOSO AUDITORES INDEPENDENTES & ASSOCIADOS LTDA."
"CIMS SA",14818,"Emp. Adm. Part. - Energia Elétrica","RSM ACAL AUDITORES INDEPENDENTES S/S"
"CINESYSTEM S.A.",23965,"Brinquedos e Lazer","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA."
"CIPA",4332,"Alimentos","BIANCHESSI & CIA  AUDITORES"
"CIPLA",13900,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CIQUINE QUIMICA",4340,"Petroquímicos e Borracha","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LINHAS CIRCULO",7056,"Têxtil e Vestuário","BAZZANEZE AUDITORES INDEPENDENTES S/S"
"CITI CP",16721,"Serviços Diversos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CITIBANK LEASING",4383,"Arrendamento Mercantil",""
"CITIBANK LEASING",21270,"Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"CITROBRASIL",4391,"Comércio (Atacado e Varejo)","ECOPAL AUDITORES INDEPENDENTES"
"",26549,"Comunicação e Informática","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CLARION",18490,"Agricultura (Açúcar, Álcool e Cana)","BAKER TILLY BRASIL NORTE S/S - AUDITORES INDEPENDENTES - EPP"
"CLARO TELECOM PARTICIPAÇÕES S.A.",23531,"Emp. Adm. Part. - Telecomunicações","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"",26093,"Comunicação e Informática","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CLI SUL S.A.",27243,"Serviços Transporte e Logística","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"CLIMAX",4413,"Máquinas, Equipamentos, Veículos e Peças","RUHTRA S/C"
"VITA-CBI",18449,"Serviços Médicos","JC SOUZA, RADURÊS AUDITORES INDEPENDENTES"
"CLUBEPAR",14982,"Emp. Adm. Participações","LEDGER - AUDITORES INDEPENDENTES"
"CM HOSPITALAR S.A",25682,"Comércio (Atacado e Varejo)","KPMG AUDITORES INDEPENDENTES LTDA."
"CMA PARTICIPACOES SA",13323,"Emp. Adm. Participações","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CMP",12890,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CNV",12882,"Têxtil e Vestuário","GAMA & CIA AUDITORES INDEP SC"
"COARI PARTICIPAÇÕES S.A.",19089,"Telecomunicações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COBRASFER",4430,"Comércio (Atacado e Varejo)","ATILIO FIESCHI"
"COBRASMA S/A",4448,"Máquinas, Equipamentos, Veículos e Peças","MACSO LEGATE AUDITORES INDEPENDENTES"
"COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.",24724,"Securitização de Recebíveis","AUDIFACTOR AUDITORES INDEPENDENTES S/S LTDA"
"CODUNAS",15237,"Construção Civil, Mat. Constr. e Decoração","VEECK & CIA.  AUDITORES"
"COEMP",4464,"Construção Civil, Mat. Constr. e Decoração","TEIXEIRA & ASSOCIADOS AUDITORES INDEPENDENTES"
"COEST",4472,"Construção Civil, Mat. Constr. e Decoração","MOORE CWB AUDITORES INDEPENDENTES S/S"
"COFAP",4480,"Máquinas, Equipamentos, Veículos e Peças","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"KROTON EDUCACIONAL S.A.",17973,"Emp. Adm. Part. - Educação","KPMG AUDITORES INDEPENDENTES LTDA."
"COINVEST CIA.DE INVESTIMENTOS INTERLAGOS",7552,"Metalurgia e Siderurgia","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COIRG",4499,"Alimentos","MESSIAS AUDITORIA E CONSULTORIA S/S"
"COLDEX FRIGOR",12459,"Máquinas, Equipamentos, Veículos e Peças","VILLAS RODIL AUDITORES INDEPENDENTES"
"COLMEIA",4502,"Máquinas, Equipamentos, Veículos e Peças","IRMAOS CAMPOS AUD INDEP SC"
"COLUMBIA",13510,"Emp. Adm. Participações","ARTHUR ANDERSEN BIEDERMANN A I"
"",26280,"Energia Elétrica","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CISA",4375,"Máquinas, Equipamentos, Veículos e Peças","WALTER HEUER AUDITORES INDEPENDENTES"
"QUINTELLA",15652,"Serviços Transporte e Logística","CONFIANCE AUDITORES INDEPENDENTES"
"INDUCO",4545,"Máquinas, Equipamentos, Veículos e Peças","DEC ASSESSORIAS REUN AUD SC"
"BCO COMIND INV",4570,"Bancos","BIANCHESSI & CIA  AUDITORES"
"COMIND LEASING",12173,"Arrendamento Mercantil",""
"COMIND",1058,"Emp. Adm. Part. - Intermediação Financeira","BIANCHESSI & CIA  AUDITORES"
"COMIND",4553,"Emp. Adm. Participações","BIANCHESSI & CIA  AUDITORES"
"COMIND SERV TECNICOS",4561,"Comunicação e Informática","BIANCHESSI & CIA  AUDITORES"
"CONDUGEL",4634,"Metalurgia e Siderurgia","SOTECONTI AUDITORES INDEP SC"
"CATA",2720,"Têxtil e Vestuário","AUDITAN - AUDITORIA INDEPENDENTE"
"HOTEIS ELDORADO",2763,"Hospedagem e Turismo","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"MELHORAMENTOS",3654,"Papel e Celulose","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"COMPANHIA SIDERÚRGICA DE TUBARÃO",14117,"Metalurgia e Siderurgia","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"COMPANHIA AURIFERA BRASILEIRA SA",22870,"Emp. Adm. Part. - Extração Mineral","PARANÁ AUDITORES ASSOCIADOS S/S"
"",25984,"Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ANTARCTICA PAULISTA",2755,"Bebidas e Fumo","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COMPANHIA BRASILEIRA DE CARTUCHOS - CBC",13315,"Metalurgia e Siderurgia","KPMG AUDITORES ASSOCIADOS"
"PÃO DE AÇÚCAR",14826,"Comércio (Atacado e Varejo)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COMPANHIA CARIOCA DE SECURITIZAÇÃO S.A. - RIO SECURITIZAÇÃO",23949,"Securitização de Recebíveis","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CELGPAR",21393,"Emp. Adm. Part. - Energia Elétrica","CONVICTA AUDITORES INDEPENDENTES S/S LTDA."
"FABRICAÇÃO DE CIMENTO PORTLAND",2933,"Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CAGECE",18546,"Saneamento, Serv. Água e Gás","RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S"
"AMBEV",18112,"Bebidas e Fumo","KPMG AUDITORES INDEPENDENTES LTDA."
"COMPANHIA DE CREDITO FINANCIAMENTO E INVESTIMENTO RCI BRAISL",22993,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"COMPANHIA DE EMBALAGENS METÁLICAS - MMSA",14125,"Metalurgia e Siderurgia",""
"CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA",3077,"Têxtil e Vestuário","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"",25178,"Saneamento, Serv. Água e Gás","KPMG AUDITORES INDEPENDENTES LTDA."
"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS",15636,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"PARTICIPAR",15415,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"LOCAMERICA",22691,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ALPHA",16454,"Emp. Adm. Part. - Sem Setor Principal","AUDIMAR AUDITORES INDEPENDENTES SC"
"COPASA MG",19445,"Saneamento, Serv. Água e Gás","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS",23809,"Saneamento, Serv. Água e Gás","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COMPANHIA DO METROPOLITANO DE SÃO PAULO - METRÔ",27065,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA",14451,"Energia Elétrica","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"COMPANHIA ENERGÉTICA JAGUARA",24422,"Energia Elétrica","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"COMPANHIA ENERGÉTICA MIRANDA",24430,"Energia Elétrica","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"COMPANHIA ENERGÉTICA SINOP S.A.",24155,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G",27154,"Energia Elétrica","BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA."
"COMPANHIA FERRÍFERA BRASILEIRA S.A.",23124,"Emp. Adm. Part. - Extração Mineral","PARANÁ AUDITORES ASSOCIADOS S/S"
"COCA COLA",3263,"Bebidas e Fumo","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"COMPANHIA INDUSTRIAL CATAGUASES",3395,"Têxtil e Vestuário","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"INDL ITAUNENSE",3450,"Emp. Adm. Part. - Energia Elétrica","RSM BRASIL AUDITORES INDEPENDENTES LTDA."
"CMAA",21709,"Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"PARAIBUNA",12130,"Metalurgia e Siderurgia","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"COPEL",14311,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"COMPANHIA PARANAENSE DE SECURITIZAÇÃO - PRSEC",23914,"Securitização de Recebíveis","KPMG AUDITORES INDEPENDENTES LTDA."
"CPFL",3824,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"COMPANHIA PAULISTA DE SECURITIZAÇÃO",22080,"Emp. Adm. Part. - Securitização de Recebíveis","TATICCA AUDITORES INDEPENDENTES S.S. - EPP"
"FERRO LIGAS",3808,"Metalurgia e Siderurgia","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COMPANHIA PROVIDENCIA",20974,"Petroquímicos e Borracha","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"COMPANHIA SEC. DE CRÉDITOS FIN. CARTÕES CONSIGNADOS BMG",24147,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-NEXOOS",24520,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS - VERT 5",25593,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
